,Hong_Kong_Residents_Arrival,Hong_Kong_Residents_Departure,Mainland_Visitors_Arrival,Mainland_Visitors_Departure,Other_Visitors_Arrival,Other_Visitors_Departure,Total_Arrival,Total_Departure
2020-01-24,"20,724","74,876","9,124","4,451","14,116","7,242","43,964","86,569"
2020-01-25,"14,907","58,711","8,489","5,326","10,953","7,335","34,349","71,372"
2020-01-26,"22,646","47,580","10,955","7,870","7,522","8,813","41,123","64,263"
2020-01-27,"36,215","41,316","10,309","8,203","6,764","11,319","53,288","60,838"
2020-01-28,"54,491","41,100","7,187","8,306","5,422","12,151","67,100","61,557"
2020-01-29,"50,292","33,880","9,196","7,550","5,871","10,514","65,359","51,944"
2020-01-30,"46,214","31,072","9,907","7,122","5,530","9,882","61,651","48,076"
2020-01-31,"49,093","28,231","7,817","5,737","5,089","7,599","61,999","41,567"
2020-02-01,"55,976","28,798","5,703","5,072","4,567","8,046","66,246","41,916"
2020-02-02,"59,083","25,570","4,649","4,360","3,762","6,898","67,494","36,828"
2020-02-03,"41,208","21,704","6,996","3,596","3,846","5,428","52,050","30,728"
2020-02-04,"31,173","20,187","6,317","3,550","3,647","4,471","41,137","28,208"
2020-02-05,"24,832","22,297","6,041","2,591","3,592","4,404","34,465","29,292"
2020-02-06,"21,261","22,252","5,728","2,512","3,478","4,222","30,467","28,986"
2020-02-07,"19,694","21,417","5,563","2,735","3,556","4,012","28,813","28,164"
2020-02-08,"17,956","20,163",943,"1,127","3,070","3,253","21,969","24,543"
2020-02-09,"22,077","17,782",913,971,"2,591","3,200","25,581","21,953"
2020-02-10,"17,139","15,550",766,535,"2,037","3,219","19,942","19,304"
2020-02-11,"14,663","12,645",647,481,"2,107","2,556","17,417","15,682"
2020-02-12,"14,221","13,637",619,471,"1,725","2,358","16,565","16,466"
2020-02-13,"11,620","15,259",638,453,"1,938","2,150","14,196","17,862"
2020-02-14,"11,246","15,770",584,477,"2,015","2,012","13,845","18,259"
2020-02-15,"14,097","14,575",692,390,"2,098","2,064","16,887","17,029"
2020-02-16,"18,422","12,257",650,349,"1,848","2,524","20,920","15,130"
2020-02-17,"13,748","10,210",532,212,"1,876","2,018","16,156","12,440"
2020-02-18,"12,068","8,900",479,266,"1,862","1,722","14,409","10,888"
2020-02-19,"10,612","10,048",462,214,"1,789","1,582","12,863","11,844"
2020-02-20,"10,398","11,622",525,280,"1,730","1,944","12,653","13,846"
2020-02-21,"9,821","12,942",539,356,"2,007","1,749","12,367","15,047"
2020-02-22,"11,096","10,534",530,247,"2,030","1,888","13,656","12,669"
2020-02-23,"15,891","9,225",537,296,"2,009","2,141","18,437","11,662"
2020-02-24,"12,267","8,041",451,231,"1,792","1,919","14,510","10,191"
2020-02-25,"10,734","7,458",414,181,"1,471","1,574","12,619","9,213"
2020-02-26,"9,882","7,629",410,212,"1,484","1,521","11,776","9,362"
2020-02-27,"9,177","9,051",512,168,"1,780","1,501","11,469","10,720"
2020-02-28,"9,205","10,755",369,255,"1,767","1,747","11,341","12,757"
2020-02-29,"11,818","9,860",870,230,"1,893","1,688","14,581","11,778"
2020-03-01,"14,584","9,115","1,122",354,"2,461","1,850","18,167","11,319"
2020-03-02,"10,261","6,755",732,206,"1,935","1,314","12,928","8,275"
2020-03-03,"7,960","6,684",734,190,"1,923","1,349","10,617","8,223"
2020-03-04,"7,590","7,170",772,213,"1,847","1,123","10,209","8,506"
2020-03-05,"7,074","8,141",673,190,"1,749","1,289","9,496","9,620"
2020-03-06,"7,474","8,746",705,215,"1,877","1,150","10,056","10,111"
2020-03-07,"8,659","7,316",795,216,"1,919","1,398","11,373","8,930"
2020-03-08,"12,538","6,371",730,276,"1,833","1,376","15,101","8,023"
2020-03-09,"8,304","4,721",706,139,"1,623",970,"10,633","5,830"
2020-03-10,"7,051","3,802",663,142,"1,531",914,"9,245","4,858"
2020-03-11,"7,610","3,443",838,205,"1,539",841,"9,987","4,489"
2020-03-12,"6,416","4,050",944,152,"1,426",995,"8,786","5,197"
2020-03-13,"6,758","4,435","1,075",269,"1,401","1,044","9,234","5,748"
2020-03-14,"7,513","3,764","1,435",214,"1,587",996,"10,535","4,974"
2020-03-15,"10,027","2,516","1,558",315,"1,950",863,"13,535","3,694"
2020-03-16,"8,498","2,117","1,662",382,"2,038",896,"12,198","3,395"
2020-03-17,"7,472","1,483","1,702",339,"1,272",666,"10,446","2,488"
2020-03-18,"9,616","1,041","2,027",337,"1,309",615,"12,952","1,993"
