,Hong_Kong_Residents_Arrival,Hong_Kong_Residents_Departure,Mainland_Visitors_Arrival,Mainland_Visitors_Departure,Other_Visitors_Arrival,Other_Visitors_Departure,Total_Arrival,Total_Departure
2020-01-24,"8,792","37,864","5,354","5,142",685,484,"14,831","43,490"
2020-01-25,"9,834","20,440","4,540","4,993",532,451,"14,906","25,884"
2020-01-26,"26,235","9,524","6,051","7,404",868,529,"33,154","17,457"
2020-01-27,"27,513","5,065","4,507","6,538",759,598,"32,779","12,201"
2020-01-28,"26,094","3,797","4,217","5,022",738,513,"31,049","9,332"
2020-01-29,"26,892","4,398","4,695","6,648",996,678,"32,583","11,724"
2020-01-30,"17,109","3,707","2,785","6,196",660,660,"20,554","10,563"
2020-01-31,"11,541","3,727","2,412","4,789",567,632,"14,520","9,148"
2020-02-01,"9,788","3,378","2,429","3,425",505,499,"12,722","7,302"
2020-02-02,"11,706","2,968","2,253","3,130",606,454,"14,565","6,552"
2020-02-03,"8,284","3,960","1,871","3,754",504,486,"10,659","8,200"
2020-02-04,"18,852","10,838","2,771","6,731",786,809,"22,409","18,378"
2020-02-05,"16,387","11,893","2,378","6,359",714,837,"19,479","19,089"
2020-02-06,"38,920","21,360","4,813","7,071","1,220","1,197","44,953","29,628"
2020-02-07,"50,506","16,746","6,555","7,282","1,441","1,320","58,502","25,348"
2020-02-08,208,"1,291",43,"1,351",3,549,254,"3,191"
2020-02-09,314,"1,802",36,"1,303",3,573,353,"3,678"
2020-02-10,461,"1,835",56,"1,016",4,185,521,"3,036"
2020-02-11,561,"1,105",80,739,4,140,645,"1,984"
2020-02-12,709,"1,219",106,862,2,114,817,"2,195"
2020-02-13,756,"1,056",105,856,17,104,878,"2,016"
2020-02-14,770,"1,092",94,"1,016",6,117,870,"2,225"
2020-02-15,809,945,94,621,7,150,910,"1,716"
2020-02-16,797,"1,166",97,764,6,203,900,"2,133"
2020-02-17,978,"1,724",108,600,4,173,"1,090","2,497"
2020-02-18,954,"1,160",95,519,10,155,"1,059","1,834"
2020-02-19,909,"1,145",97,508,5,113,"1,011","1,766"
2020-02-20,980,"1,167",110,564,9,111,"1,099","1,842"
2020-02-21,"1,089","1,195",115,534,4,115,"1,208","1,844"
2020-02-22,980,"1,115",107,487,2,124,"1,089","1,726"
2020-02-23,"1,147","1,338",126,579,9,273,"1,282","2,190"
2020-02-24,"1,353","1,964",130,482,7,181,"1,490","2,627"
2020-02-25,"1,328","1,510",131,503,5,141,"1,464","2,154"
2020-02-26,"1,202","1,695",166,548,11,179,"1,379","2,422"
2020-02-27,"1,249","1,564",170,647,8,183,"1,427","2,394"
2020-02-28,"1,280","1,724",181,566,10,175,"1,471","2,465"
2020-02-29,"1,387","1,807",195,947,3,329,"1,585","3,083"
2020-03-01,"1,587","2,053",211,"1,247",9,931,"1,807","4,231"
2020-03-02,"2,124","2,551",231,924,9,655,"2,364","4,130"
2020-03-03,"1,479","1,970",165,793,3,667,"1,647","3,430"
2020-03-04,"1,306","1,684",192,806,7,664,"1,505","3,154"
2020-03-05,"1,419","1,589",226,767,3,638,"1,648","2,994"
2020-03-06,"1,425","1,550",251,734,8,544,"1,684","2,828"
2020-03-07,"1,180","1,380",269,856,2,622,"1,451","2,858"
2020-03-08,"1,386","1,547",252,897,9,678,"1,647","3,122"
2020-03-09,"1,632","2,197",233,774,10,592,"1,875","3,563"
2020-03-10,"1,491","1,762",212,802,5,432,"1,708","2,996"
2020-03-11,"1,418","1,632",244,866,2,443,"1,664","2,941"
2020-03-12,"1,376","1,602",235,887,3,417,"1,614","2,906"
2020-03-13,"1,418","1,520",254,"1,018",3,369,"1,675","2,907"
2020-03-14,"1,276","1,560",270,"1,303",3,406,"1,549","3,269"
2020-03-15,"1,745","1,628",351,"1,565",18,632,"2,114","3,825"
2020-03-16,"1,878","2,182",326,"1,450",8,593,"2,212","4,225"
2020-03-17,"1,393","1,672",257,"1,420",4,446,"1,654","3,538"
2020-03-18,"1,394","1,570",344,"1,734",10,360,"1,748","3,664"
2020-03-19,"1,099","1,449",184,458,3,244,"1,286","2,151"
2020-03-20,"1,328","1,404",245,401,3,176,"1,576","1,981"
2020-03-21,904,"1,384",239,457,5,113,"1,148","1,954"
2020-03-22,"1,064","1,619",272,567,4,199,"1,340","2,385"
2020-03-23,"1,053","2,229",201,462,4,207,"1,258","2,898"
2020-03-24,"1,198","1,793",317,453,12,401,"1,527","2,647"
2020-03-25,810,"1,525",135,326,3,21,948,"1,872"
2020-03-26,773,"2,476",122,522,2,16,897,"3,014"
2020-03-27,676,298,121,83,1,113,798,494
2020-03-28,545,238,96,102,5,3,646,343
2020-03-29,554,221,110,67,0,2,664,290
2020-03-30,704,284,79,82,1,4,784,370
2020-03-31,763,366,97,67,3,3,863,436
2020-04-01,798,385,84,123,2,0,884,508
2020-04-02,631,371,69,87,0,7,700,465
2020-04-03,489,353,85,96,0,7,574,456
2020-04-04,344,296,73,86,0,5,417,387
2020-04-05,479,267,100,80,1,1,580,348
