,Hong_Kong_Residents_Arrival,Hong_Kong_Residents_Departure,Mainland_Visitors_Arrival,Mainland_Visitors_Departure,Other_Visitors_Arrival,Other_Visitors_Departure,Total_Arrival,Total_Departure
2020-01-24,"7,294","15,775","1,949","2,804","2,130","2,086","11,373","20,665"
2020-01-25,"9,121","13,570","2,682","2,949","2,339","1,830","14,142","18,349"
2020-01-26,"12,967","10,182","2,486","3,053","2,311","2,082","17,764","15,317"
2020-01-27,"14,306","7,369","1,998","2,822","1,998","2,088","18,302","12,279"
2020-01-28,"12,420","5,417","1,551","1,795","1,534","1,625","15,505","8,837"
2020-01-29,"10,793","4,213","1,363","1,588","1,168","1,479","13,324","7,280"
2020-01-30,"7,032","3,554",946,"1,360",923,"1,155","8,901","6,069"
2020-01-31,"5,754","3,626",653,897,883,"1,078","7,290","5,601"
2020-02-01,"4,926","3,259",632,784,"1,021","1,339","6,579","5,382"
2020-02-02,"5,108","3,165",487,649,804,"1,270","6,399","5,084"
2020-02-03,"3,595","3,023",358,723,674,849,"4,627","4,595"
2020-02-04,"4,555","3,177",402,985,"1,020","1,020","5,977","5,182"
2020-02-05,"3,172","2,025",329,925,"1,121",885,"4,622","3,835"
2020-02-06,"4,941","2,608",468,"1,068","1,188",834,"6,597","4,510"
2020-02-07,"6,699","2,576",628,"1,102","1,340",798,"8,667","4,476"
2020-02-08,659,750,9,163,508,442,"1,176","1,355"
2020-02-09,710,"1,185",7,167,493,524,"1,210","1,876"
2020-02-10,808,"1,508",10,137,496,444,"1,314","2,089"
2020-02-11,729,960,11,103,458,452,"1,198","1,515"
2020-02-12,862,904,4,109,449,350,"1,315","1,363"
2020-02-13,936,"1,089",8,124,503,450,"1,447","1,663"
2020-02-14,"1,491","1,298",5,110,553,447,"2,049","1,855"
2020-02-15,"1,183","1,060",5,119,524,486,"1,712","1,665"
2020-02-16,"1,106","1,473",2,76,465,646,"1,573","2,195"
2020-02-17,"1,264","2,000",3,87,488,625,"1,755","2,712"
2020-02-18,"1,361","1,955",5,74,579,730,"1,945","2,759"
2020-02-19,"1,280","1,776",8,64,496,609,"1,784","2,449"
2020-02-20,"2,299","3,135",13,96,585,551,"2,897","3,782"
2020-02-21,"3,647","3,362",28,95,685,549,"4,360","4,006"
2020-02-22,"3,364","3,511",14,83,648,641,"4,026","4,235"
2020-02-23,"3,203","3,342",10,86,633,775,"3,846","4,203"
2020-02-24,"3,352","4,211",7,74,611,682,"3,970","4,967"
2020-02-25,"3,145","3,281",13,88,591,593,"3,749","3,962"
2020-02-26,"3,233","3,424",11,78,662,580,"3,906","4,082"
2020-02-27,"3,420","3,672",20,99,616,670,"4,056","4,441"
2020-02-28,"4,763","4,669",8,90,865,663,"5,636","5,422"
2020-02-29,"4,676","4,866",19,87,901,787,"5,596","5,740"
2020-03-01,"4,820","4,587",13,194,767,905,"5,600","5,686"
2020-03-02,"4,244","5,321",10,93,738,836,"4,992","6,250"
2020-03-03,"4,398","4,798",19,117,756,780,"5,173","5,695"
2020-03-04,"4,368","4,539",9,92,753,802,"5,130","5,433"
2020-03-05,"4,752","4,999",17,96,782,776,"5,551","5,871"
