,Hong_Kong_Residents_Arrival,Hong_Kong_Residents_Departure,Mainland_Visitors_Arrival,Mainland_Visitors_Departure,Other_Visitors_Arrival,Other_Visitors_Departure,Total_Arrival,Total_Departure
2020-01-24,"16,750","32,215","4,979","3,766",196,167,"21,925","36,148"
2020-01-25,"12,511","16,675","3,237","3,347",117,155,"15,865","20,177"
2020-01-26,"19,606","10,678","3,816","4,376",265,226,"23,687","15,280"
2020-01-27,"17,463","7,787","2,863","3,592",203,175,"20,529","11,554"
2020-01-28,"17,313","7,253","2,575","3,018",194,175,"20,082","10,446"
2020-01-29,"19,574","8,304","3,003","3,414",323,245,"22,900","11,963"
2020-01-30,"15,978","8,048","1,711","2,570",205,168,"17,894","10,786"
2020-01-31,"14,044","8,490","1,518","1,939",181,163,"15,743","10,592"
2020-02-01,"12,975","8,541","1,505","1,805",165,139,"14,645","10,485"
2020-02-02,"17,716","9,832","1,739","2,902",177,209,"19,632","12,943"
2020-02-03,"17,037","10,113","1,038","1,815",242,205,"18,317","12,133"
2020-02-04,0,0,0,0,0,0,0,0
2020-02-05,0,0,0,0,0,0,0,0
2020-02-06,0,0,0,0,0,0,0,0
2020-02-07,0,0,0,0,0,0,0,0
2020-02-08,0,0,0,0,0,0,0,0
2020-02-09,0,0,0,0,0,0,0,0
2020-02-10,0,0,0,0,0,0,0,0
2020-02-11,0,0,0,0,0,0,0,0
2020-02-12,0,0,0,0,0,0,0,0
2020-02-13,0,0,0,0,0,0,0,0
2020-02-14,0,0,0,0,0,0,0,0
2020-02-15,0,0,0,0,0,0,0,0
2020-02-16,0,0,0,0,0,0,0,0
2020-02-17,0,0,0,0,0,0,0,0
2020-02-18,0,0,0,0,0,0,0,0
2020-02-19,0,0,0,0,0,0,0,0
2020-02-20,0,0,0,0,0,0,0,0
2020-02-21,0,0,0,0,0,0,0,0
2020-02-22,0,0,0,0,0,0,0,0
2020-02-23,0,0,0,0,0,0,0,0
2020-02-24,0,0,0,0,0,0,0,0
2020-02-25,0,0,0,0,0,0,0,0
2020-02-26,0,0,0,0,0,0,0,0
2020-02-27,0,0,0,0,0,0,0,0
2020-02-28,0,0,0,0,0,0,0,0
2020-02-29,0,0,0,0,0,0,0,0
2020-03-01,0,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0,0
2020-03-12,0,0,0,0,0,0,0,0
2020-03-13,0,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0,0
2020-03-17,0,0,0,0,0,0,0,0
2020-03-18,0,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0,0
2020-03-21,0,0,0,0,0,0,0,0
2020-03-22,0,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0,0
2020-03-25,0,0,0,0,0,0,0,0
2020-03-26,0,0,0,0,0,0,0,0
2020-03-27,0,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0,0
2020-03-29,0,0,0,0,0,0,0,0
2020-03-30,0,0,0,0,0,0,0,0
2020-03-31,0,0,0,0,0,0,0,0
2020-04-01,0,0,0,0,0,0,0,0
2020-04-02,0,0,0,0,0,0,0,0
2020-04-03,0,0,0,0,0,0,0,0
2020-04-04,0,0,0,0,0,0,0,0
2020-04-05,0,0,0,0,0,0,0,0
2020-04-06,0,0,0,0,0,0,0,0
2020-04-07,0,0,0,0,0,0,0,0
2020-04-08,0,0,0,0,0,0,0,0
2020-04-09,0,0,0,0,0,0,0,0
2020-04-10,0,0,0,0,0,0,0,0
2020-04-11,0,0,0,0,0,0,0,0
2020-04-12,0,0,0,0,0,0,0,0
2020-04-13,0,0,0,0,0,0,0,0
2020-04-14,0,0,0,0,0,0,0,0
2020-04-15,0,0,0,0,0,0,0,0
2020-04-16,0,0,0,0,0,0,0,0
2020-04-17,0,0,0,0,0,0,0,0
2020-04-18,0,0,0,0,0,0,0,0
2020-04-19,0,0,0,0,0,0,0,0
2020-04-20,0,0,0,0,0,0,0,0
2020-04-21,0,0,0,0,0,0,0,0
2020-04-22,0,0,0,0,0,0,0,0
2020-04-23,0,0,0,0,0,0,0,0
2020-04-24,0,0,0,0,0,0,0,0
2020-04-25,0,0,0,0,0,0,0,0
2020-04-26,0,0,0,0,0,0,0,0
2020-04-27,0,0,0,0,0,0,0,0
2020-04-28,0,0,0,0,0,0,0,0
2020-04-29,0,0,0,0,0,0,0,0
2020-04-30,0,0,0,0,0,0,0,0
2020-05-01,0,0,0,0,0,0,0,0
2020-05-02,0,0,0,0,0,0,0,0
2020-05-03,0,0,0,0,0,0,0,0
2020-05-04,0,0,0,0,0,0,0,0
2020-05-05,0,0,0,0,0,0,0,0
2020-05-06,0,0,0,0,0,0,0,0
2020-05-07,0,0,0,0,0,0,0,0
2020-05-08,0,0,0,0,0,0,0,0
2020-05-09,0,0,0,0,0,0,0,0
2020-05-10,0,0,0,0,0,0,0,0
2020-05-11,0,0,0,0,0,0,0,0
2020-05-12,0,0,0,0,0,0,0,0
2020-05-13,0,0,0,0,0,0,0,0
2020-05-14,0,0,0,0,0,0,0,0
2020-05-15,0,0,0,0,0,0,0,0
2020-05-16,0,0,0,0,0,0,0,0
2020-05-17,0,0,0,0,0,0,0,0
2020-05-18,0,0,0,0,0,0,0,0
2020-05-19,0,0,0,0,0,0,0,0
2020-05-20,0,0,0,0,0,0,0,0
2020-05-21,0,0,0,0,0,0,0,0
2020-05-22,0,0,0,0,0,0,0,0
2020-05-23,0,0,0,0,0,0,0,0
2020-05-24,0,0,0,0,0,0,0,0
2020-05-25,0,0,0,0,0,0,0,0
2020-05-26,0,0,0,0,0,0,0,0
2020-05-27,0,0,0,0,0,0,0,0
2020-05-28,0,0,0,0,0,0,0,0
2020-05-29,0,0,0,0,0,0,0,0
2020-05-30,0,0,0,0,0,0,0,0
