,Hong_Kong_Residents_Arrival,Hong_Kong_Residents_Departure,Mainland_Visitors_Arrival,Mainland_Visitors_Departure,Other_Visitors_Arrival,Other_Visitors_Departure,Total_Arrival,Total_Departure
2020-01-24,"102,663","294,785","36,705","31,340","22,872","13,018","162,240","339,143"
2020-01-25,"86,417","186,168","29,891","28,788","19,177","14,633","135,485","229,589"
2020-01-26,"163,668","121,396","36,690","38,300","16,707","14,778","217,065","174,474"
2020-01-27,"177,470","90,477","28,780","34,703","12,816","18,930","219,066","144,110"
2020-01-28,"188,788","81,904","24,156","29,546","10,248","16,517","223,192","127,967"
2020-01-29,"197,572","76,646","27,780","32,785","10,998","15,143","236,350","124,574"
2020-01-30,"132,506","68,079","19,555","24,828","8,862","15,070","160,923","107,977"
2020-01-31,"116,544","67,506","16,058","18,994","8,257","10,952","140,859","97,452"
2020-02-01,"115,122","65,847","13,382","15,399","9,760","12,956","138,264","94,202"
2020-02-02,"122,399","57,341","11,715","14,385","6,399","9,943","140,513","81,669"
2020-02-03,"111,033","62,735","13,461","15,246","6,510","8,100","131,004","86,081"
2020-02-04,"54,816","34,405","9,511","11,276","5,485","6,335","69,812","52,016"
2020-02-05,"44,566","36,217","8,760","9,877","5,458","6,126","58,784","52,220"
2020-02-06,"65,122","46,220","11,009","10,651","5,886","6,253","82,017","63,124"
2020-02-07,"76,899","40,739","12,746","11,119","6,337","6,130","95,982","57,988"
2020-02-08,"18,823","22,204",995,"2,641","3,581","4,244","23,399","29,089"
2020-02-09,"24,939","20,769",956,"2,441","3,120","4,297","29,015","27,507"
2020-02-10,"18,408","18,893",832,"1,688","2,537","3,848","21,777","24,429"
2020-02-11,"15,953","14,710",738,"1,323","2,569","3,148","19,260","19,181"
2020-02-12,"15,792","15,760",729,"1,442","2,176","2,822","18,697","20,024"
2020-02-13,"13,312","17,404",751,"1,433","2,458","2,704","16,521","21,541"
2020-02-14,"13,507","18,160",683,"1,603","2,574","2,576","16,764","22,339"
2020-02-15,"16,089","16,580",791,"1,130","2,629","2,700","19,509","20,410"
2020-02-16,"20,325","14,896",749,"1,189","2,319","3,373","23,393","19,458"
2020-02-17,"15,990","13,934",643,899,"2,368","2,816","19,001","17,649"
2020-02-18,"14,383","12,015",579,859,"2,451","2,607","17,413","15,481"
2020-02-19,"12,801","12,969",567,786,"2,290","2,304","15,658","16,059"
2020-02-20,"13,677","15,924",648,940,"2,324","2,606","16,649","19,470"
2020-02-21,"14,557","17,499",682,985,"2,696","2,413","17,935","20,897"
2020-02-22,"15,440","15,160",651,817,"2,680","2,653","18,771","18,630"
2020-02-23,"20,241","13,905",673,961,"2,651","3,189","23,565","18,055"
2020-02-24,"16,972","14,216",588,787,"2,410","2,782","19,970","17,785"
2020-02-25,"15,207","12,249",558,772,"2,067","2,308","17,832","15,329"
2020-02-26,"14,317","12,748",587,838,"2,157","2,280","17,061","15,866"
2020-02-27,"13,846","14,287",702,914,"2,404","2,354","16,952","17,555"
2020-02-28,"15,248","17,148",558,911,"2,642","2,585","18,448","20,644"
2020-02-29,"17,881","16,533","1,084","1,264","2,797","2,804","21,762","20,601"
2020-03-01,"20,991","15,755","1,346","1,795","3,237","3,686","25,574","21,236"
2020-03-02,"16,629","14,627",973,"1,223","2,682","2,805","20,284","18,655"
2020-03-03,"13,837","13,452",918,"1,100","2,682","2,796","17,437","17,348"
2020-03-04,"13,264","13,393",973,"1,111","2,607","2,589","16,844","17,093"
2020-03-05,"13,245","14,729",916,"1,053","2,534","2,703","16,695","18,485"
2020-03-06,"15,154","16,326",978,"1,065","2,779","2,462","18,911","19,853"
2020-03-07,"15,774","15,136","1,090","1,204","2,894","2,923","19,758","19,263"
2020-03-08,"20,255","13,853","1,005","1,282","2,648","3,181","23,908","18,316"
2020-03-09,"15,574","13,142",955,"1,046","2,438","2,491","18,967","16,679"
2020-03-10,"13,908","11,251",906,"1,028","2,293","2,246","17,107","14,525"
2020-03-11,"14,276","10,333","1,107","1,193","2,274","2,049","17,657","13,575"
